 10 1 1   1 6 1 1    4  15 1 1.960 
 10 1 1   2 8 0 0    6  14 1 -1.000 
 10 1 1   3 6 6 0    6  14 1 1.866 
 10 1 1   4 6 2 0    3   1 1 1.280 
 10 1 1   5 6 0 0    6  14 1 -1.000 
 10 1 1   6 8 1 1    5  12 1 1.465 
 10 1 1   7 8 2 0    2   6 2 4.284 
 10 1 1   8 6 4 0    6   1 1 1.583 
 10 1 1   9 4 0 0    2   7 3 -1.000 
 10 1 1  10 8 8 4    2   9 1 1.922 
 10 1 1  11 6 4 4    6   4 1 2.814 
 10 1 1  12 8 6 0    5  14 1 1.274 
 10 1 1  13 8 4 0    3  11 2 3.685 
 10 1 1  14 8 6 4    1   8 1 8.271 
 10 1 1  15 4 2 2    4   8 3 0.937 
 10 1 1  16 8 2 2    5  11 2 4.982 
 10 1 1  17 8 8 0    2   5 1 3.054 
 10 1 1  18 6 2 2    2   3 1 1.560 
 10 1 1  19 2 0 0    2   3 1 -1.000 
 10 1 1  20 4 4 0    3   4 1 1.702 
 10 1 1  21 2 2 0    2   5 1 1.374 
 10 1 1  22 8 4 4    4  13 1 4.295 
 10 1 1  23 4 1 1    1  14 1 1.653 
 10 1 1  24 6 6 4    5   4 1 0.839 
 10 1 1  25 4 4 4    2   9 1 1.253 
 10 1 1  26 4 2 0    4   3 1 0.888 
 10 1 1  27 2 1 1    1   4 1 0.882 
 10 1 1  28 2 2 2    2  13 1 1.023 
 10 1 2   1 4 2 0    2   4 1 1.307 
 10 1 2   2 6 1 1    6  11 1 1.004 
 10 1 2   3 8 2 2    8  11 1 1.954 
 10 1 2   4 8 6 0    4   2 1 1.803 
 10 1 2   5 4 0 0    3   1 1 -1.000 
 10 1 2   6 8 0 0    3  10 1 -1.000 
 10 1 2   7 6 6 4    4  10 1 1.433 
 10 1 2   8 4 4 0    1   2 1 0.953 
 10 1 2   9 8 1 1    2  16 1 1.614 
 10 1 2  10 2 1 1    2  16 1 1.049 
 10 1 2  11 6 2 2    5   1 1 0.915 
 10 1 2  12 8 4 0    7   9 1 0.982 
 10 1 2  13 8 8 4    8   1 1 1.124 
 10 1 2  14 6 0 0    4   5 2 -1.000 
 10 1 2  15 4 4 4    3  13 1 1.555 
 10 1 2  16 6 6 0    5  12 1 1.490 
 10 1 2  17 8 8 0    5  15 1 1.383 
 10 1 2  18 6 4 4    4  12 1 1.786 
 10 1 2  19 8 6 4    8   4 1 4.348 
 10 1 2  20 8 4 4    3  13 1 4.576 
 10 1 2  21 6 4 0    4   9 1 1.045 
 10 1 2  22 8 2 0    4  13 1 2.106 
 10 1 2  23 4 2 2    1   9 1 1.127 
 10 1 2  24 2 2 2    1  10 1 1.011 
 10 1 2  25 4 1 1    3  15 1 1.098 
 10 1 2  26 2 2 0    1   6 1 1.013 
 10 1 2  27 2 0 0    1   7 1 -1.000 
 10 1 2  28 6 2 0    1   9 1 1.461 
 10 1 3   1 4 4 4    1   4 1 1.530 
